date,event_summary,recommended_action,category,event_type,impact_level,country,city,latitude,longitude
2025-03-13,Power Outage reported in Mumbai affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Power Outage,Medium,India,Mumbai,19.076,72.8777
2025-01-17,Fire reported in Hyderabad affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Fire,Critical,India,Hyderabad,17.385,78.4867
2025-10-15,Protest reported in Mumbai affecting local operations,Monitor situation and inform local teams,Civil Unrest,Protest,Low,India,Mumbai,19.076,72.8777
2026-02-19,Strike reported in San Francisco affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Strike,High,USA,San Francisco,37.7749,-122.4194
2025-03-21,Robbery reported in Pune affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,India,Pune,18.5204,73.8567
2025-02-19,Flood reported in Dallas affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Flood,Critical,USA,Dallas,32.7767,-96.797
2026-01-09,Explosion reported in Manchester affecting local operations,Monitor situation and inform local teams,Industrial Incident,Explosion,Low,UK,Manchester,53.4808,-2.2426
2026-03-01,Crime reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,UAE,Dubai,25.2048,55.2708
2025-01-24,Fire reported in Singapore affecting local operations,Monitor situation and inform local teams,Industrial Incident,Fire,Low,Singapore,Singapore,1.3521,103.8198
2025-07-14,Flood reported in Dallas affecting local operations,Monitor situation and inform local teams,Natural Hazard,Flood,Low,USA,Dallas,32.7767,-96.797
2025-07-01,Power Outage reported in Manchester affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Power Outage,High,UK,Manchester,53.4808,-2.2426
2025-10-01,Earthquake reported in Dallas affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,USA,Dallas,32.7767,-96.797
2026-04-19,Robbery reported in Chicago affecting local operations,Notify leadership and activate continuity actions,Security,Robbery,High,USA,Chicago,41.8781,-87.6298
2026-02-25,Power Outage reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Power Outage,Medium,Singapore,Singapore,1.3521,103.8198
2025-04-19,Robbery reported in Delhi affecting local operations,Monitor situation and inform local teams,Security,Robbery,Low,India,Delhi,28.6139,77.209
2025-07-22,Road Blockade reported in Singapore affecting local operations,Immediate escalation and crisis response required,Civil Unrest,Road Blockade,Critical,Singapore,Singapore,1.3521,103.8198
2026-01-17,Power Outage reported in Dubai affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Power Outage,Medium,UAE,Dubai,25.2048,55.2708
2025-07-05,Explosion reported in Singapore affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Explosion,Critical,Singapore,Singapore,1.3521,103.8198
2026-01-22,Explosion reported in Chicago affecting local operations,Monitor situation and inform local teams,Industrial Incident,Explosion,Low,USA,Chicago,41.8781,-87.6298
2026-02-10,Road Blockade reported in Mumbai affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Road Blockade,Medium,India,Mumbai,19.076,72.8777
2025-09-28,Robbery reported in Dubai affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,UAE,Dubai,25.2048,55.2708
2025-12-16,Earthquake reported in Birmingham affecting local operations,Monitor situation and inform local teams,Natural Hazard,Earthquake,Low,UK,Birmingham,52.4862,-1.8904
2025-08-11,Power Outage reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Power Outage,High,Singapore,Singapore,1.3521,103.8198
2025-09-14,Earthquake reported in San Francisco affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Earthquake,High,USA,San Francisco,37.7749,-122.4194
2025-03-20,Water Disruption reported in New York affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Water Disruption,Medium,USA,New York,40.7128,-74.006
2025-11-03,Leak reported in London affecting local operations,Monitor situation and inform local teams,Industrial Incident,Leak,Low,UK,London,51.5074,-0.1278
2026-03-26,Flood reported in Manchester affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Flood,High,UK,Manchester,53.4808,-2.2426
2025-02-13,Flood reported in London affecting local operations,Monitor situation and inform local teams,Natural Hazard,Flood,Low,UK,London,51.5074,-0.1278
2025-12-04,Fire reported in Dubai affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Fire,Medium,UAE,Dubai,25.2048,55.2708
2025-04-19,Water Disruption reported in Dubai affecting local operations,Immediate escalation and crisis response required,Infrastructure,Water Disruption,Critical,UAE,Dubai,25.2048,55.2708
2025-08-13,Network Failure reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Network Failure,High,Singapore,Singapore,1.3521,103.8198
2025-02-02,Flood reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Flood,Medium,Singapore,Singapore,1.3521,103.8198
2025-10-29,Leak reported in London affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Leak,Medium,UK,London,51.5074,-0.1278
2025-04-28,Earthquake reported in New York affecting local operations,Monitor situation and inform local teams,Natural Hazard,Earthquake,Low,USA,New York,40.7128,-74.006
2025-05-23,Power Outage reported in Mumbai affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Power Outage,Medium,India,Mumbai,19.076,72.8777
2025-05-05,Fire reported in Dubai affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Fire,Critical,UAE,Dubai,25.2048,55.2708
2025-12-04,Protest reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Civil Unrest,Protest,Low,UAE,Abu Dhabi,24.4539,54.3773
2026-03-19,Robbery reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,UAE,Abu Dhabi,24.4539,54.3773
2026-01-08,Flood reported in Hyderabad affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Flood,Critical,India,Hyderabad,17.385,78.4867
2025-10-02,Protest reported in London affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Protest,Medium,UK,London,51.5074,-0.1278
2025-08-25,Crime reported in Dubai affecting local operations,Notify leadership and activate continuity actions,Security,Crime,High,UAE,Dubai,25.2048,55.2708
2025-01-26,Threat reported in New York affecting local operations,Monitor situation and inform local teams,Security,Threat,Low,USA,New York,40.7128,-74.006
2025-07-28,Flood reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Flood,Medium,Singapore,Singapore,1.3521,103.8198
2025-03-26,Strike reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,UAE,Abu Dhabi,24.4539,54.3773
2025-05-27,Robbery reported in Dubai affecting local operations,Immediate escalation and crisis response required,Security,Robbery,Critical,UAE,Dubai,25.2048,55.2708
2025-04-22,Protest reported in Abu Dhabi affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Protest,High,UAE,Abu Dhabi,24.4539,54.3773
2025-01-30,Fire reported in Chennai affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Fire,High,India,Chennai,13.0827,80.2707
2025-01-30,Threat reported in Chennai affecting local operations,Increase monitoring and prepare contingency plan,Security,Threat,Medium,India,Chennai,13.0827,80.2707
2025-12-12,Protest reported in Singapore affecting local operations,Monitor situation and inform local teams,Civil Unrest,Protest,Low,Singapore,Singapore,1.3521,103.8198
2025-10-24,Earthquake reported in San Francisco affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,USA,San Francisco,37.7749,-122.4194
2025-12-03,Fire reported in Singapore affecting local operations,Immediate escalation and crisis response required,Industrial Incident,Fire,Critical,Singapore,Singapore,1.3521,103.8198
2025-05-03,Power Outage reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Power Outage,High,Singapore,Singapore,1.3521,103.8198
2025-08-23,Road Blockade reported in Manchester affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Road Blockade,High,UK,Manchester,53.4808,-2.2426
2025-02-07,Storm reported in London affecting local operations,Monitor situation and inform local teams,Natural Hazard,Storm,Low,UK,London,51.5074,-0.1278
2026-04-23,Explosion reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Explosion,Medium,Singapore,Singapore,1.3521,103.8198
2025-03-22,Strike reported in London affecting local operations,Notify leadership and activate continuity actions,Civil Unrest,Strike,High,UK,London,51.5074,-0.1278
2025-12-08,Leak reported in Abu Dhabi affecting local operations,Monitor situation and inform local teams,Industrial Incident,Leak,Low,UAE,Abu Dhabi,24.4539,54.3773
2025-03-01,Flood reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Natural Hazard,Flood,High,Singapore,Singapore,1.3521,103.8198
2025-05-25,Fire reported in Hyderabad affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Fire,High,India,Hyderabad,17.385,78.4867
2025-09-16,Power Outage reported in Singapore affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Power Outage,High,Singapore,Singapore,1.3521,103.8198
2026-03-01,Flood reported in Abu Dhabi affecting local operations,Immediate escalation and crisis response required,Natural Hazard,Flood,Critical,UAE,Abu Dhabi,24.4539,54.3773
2025-11-23,Storm reported in London affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Storm,Medium,UK,London,51.5074,-0.1278
2025-10-15,Threat reported in London affecting local operations,Immediate escalation and crisis response required,Security,Threat,Critical,UK,London,51.5074,-0.1278
2025-10-07,Earthquake reported in Mumbai affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Earthquake,Medium,India,Mumbai,19.076,72.8777
2025-08-09,Leak reported in Delhi affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Leak,Medium,India,Delhi,28.6139,77.209
2026-04-06,Network Failure reported in New York affecting local operations,Monitor situation and inform local teams,Infrastructure,Network Failure,Low,USA,New York,40.7128,-74.006
2025-07-01,Road Blockade reported in London affecting local operations,Monitor situation and inform local teams,Civil Unrest,Road Blockade,Low,UK,London,51.5074,-0.1278
2026-04-19,Leak reported in Singapore affecting local operations,Increase monitoring and prepare contingency plan,Industrial Incident,Leak,Medium,Singapore,Singapore,1.3521,103.8198
2025-04-02,Strike reported in Chicago affecting local operations,Monitor situation and inform local teams,Civil Unrest,Strike,Low,USA,Chicago,41.8781,-87.6298
2026-02-08,Strike reported in Manchester affecting local operations,Increase monitoring and prepare contingency plan,Civil Unrest,Strike,Medium,UK,Manchester,53.4808,-2.2426
2025-04-13,Storm reported in Bengaluru affecting local operations,Increase monitoring and prepare contingency plan,Natural Hazard,Storm,Medium,India,Bengaluru,12.9716,77.5946
2025-01-13,Power Outage reported in Abu Dhabi affecting local operations,Increase monitoring and prepare contingency plan,Infrastructure,Power Outage,Medium,UAE,Abu Dhabi,24.4539,54.3773
2026-01-31,Network Failure reported in San Francisco affecting local operations,Monitor situation and inform local teams,Infrastructure,Network Failure,Low,USA,San Francisco,37.7749,-122.4194
2026-04-26,Explosion reported in Manchester affecting local operations,Notify leadership and activate continuity actions,Industrial Incident,Explosion,High,UK,Manchester,53.4808,-2.2426
2025-01-20,Power Outage reported in Mumbai affecting local operations,Notify leadership and activate continuity actions,Infrastructure,Power Outage,High,India,Mumbai,19.076,72.8777
